GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Order Management System - Sprint 1,com.tecmx.ordermanagement.service,InventoryService,0,160,0,10,0,31,0,13,0,8
Order Management System - Sprint 1,com.tecmx.ordermanagement.service,OrderService,19,290,4,20,3,58,4,20,0,12
Order Management System - Sprint 1,com.tecmx.ordermanagement.model,Order,27,84,1,3,8,28,5,13,4,12
Order Management System - Sprint 1,com.tecmx.ordermanagement.model,Order.Status,0,54,0,0,0,2,0,1,0,1
Order Management System - Sprint 1,com.tecmx.ordermanagement.model,OrderItem,18,46,0,2,7,12,4,6,4,5
Order Management System - Sprint 1,com.tecmx.ordermanagement.model,Product,25,31,0,0,9,12,5,6,5,6
Order Management System - Sprint 1,com.tecmx.ordermanagement.repository,InMemoryOrderRepository,64,0,0,0,14,0,8,0,8,0
Order Management System - Sprint 1,com.tecmx.ordermanagement.exception,ValidationException,0,16,0,0,0,6,0,3,0,3
Order Management System - Sprint 1,com.tecmx.ordermanagement.exception,OrderManagementException,0,18,0,0,0,7,0,3,0,3
Order Management System - Sprint 1,com.tecmx.ordermanagement.exception,BusinessRuleException,0,11,0,0,0,4,0,2,0,2
Order Management System - Sprint 1,com.tecmx.ordermanagement.exception,ResourceNotFoundException,0,11,0,0,0,4,0,2,0,2
